,content,sentiment,value
45,"It doesn't have sub lists, e.g. ""child/school"", ""child/health"" so you see too many lists or too many tasks at once (which is overwelming).",Negative,0
46,Not usefull and even they charge some money :),Negative,0
47,This app is absolutely useless. Because of this i missed an important event because the reminder alarm supposedly forgot to rang. Its pathetic and useless.,Negative,0
48,Is the app or web platform down today? Can't seem to login either.,Negative,0
49,Have to pay for daily reminders... My phone does that free,Positive,1
50,The app is amazing - but the vibrations! So annoying!! Pls let me turn them off.,Positive,1
51,Dipak day Cox,Negative,0
52,Very bad,Negative,0
53,Location reminders don't work in medium power saving mode.. And all I got in reply was a copy paste solution and a trouble shoot link.,Negative,0
54,Fed up with interruption in each matter I note. Not worth the while HAVING there are far too many condescending workers out inte cyber world who refuse to take no for an answer.,Negative,0
55,Thanks to your stupid update I lost ALL of my appointment dates... Terrible garbage.,Negative,0
56,Was great but can't connect with other people since last update. Invite will go out and will even receive the invitation but doesn't link and have had no luck with customer support,Positive,1
57,I WAS TRYING FOR DAYS TO UN SUBSCRIBE. BUT OF COURSE THAT I was charged. Absolutely no support. Horrible and disgusting tactics,Negative,0
58,"Update ruined app Last update re-formatted the ""Plan My Day"" function so the ability to schedule tasks for that day or postpone into the future is unusable, so I have 50+ tasks and to way to arrange them into a comprehensive order. Contacted the developer who emailed me back after 4 days asking for a screenshot of the problem, so I sent it right back. 3 days later - no response from the developer, no fix, nothing. Update9/8: no fix, moved to aCalTasks +",Negative,0
59,👎,Negative,0
60,You need an account because they want to track your cookies for ads,Positive,1
61,Need to create an account to use it.,Positive,1
62,Very bad,Negative,0
63,Pratz,Negative,0
64,i sent an ivite to people and everyone got over 50 emails for the one invite. What a joke of a an app.,Positive,1
65,I have to sync whatttt gtfohhhhhh,Negative,0
66,Bring back my money! Why your system stolen my money from pending subscribe? Without confirmation and notification!!!! Wheres my money???,Negative,0
67,WHY IS THIS SO BUGGY NOW? WHY ARE YOU NO LONGER REALLY BEING ATTENTIVE TO QUALITY CONTROL? CANT DELETE TASK ON ONE TRY. CAN NO LONGER DELETE FINISHED TASKS WITHOUT SEVERAL ATTEMPTS. ALL COMMANDS ARE HESITANT. ALL COMMANDS REQUIRE MULTIPLE ATTEMPTS. I HAVE EMAILED YOU 3 TIMES WITH NO RESPONSE. PLEASE ADVISE.,Positive,1
68,Hum hai al Ghj,Negative,0
69,Shabab,Negative,0
70,Makes simple things extremely complicated,Negative,0
71,Even after your response it doesn't change the fact that you are required to have an account to proceed. The reasoning that others do it is negligible. Only way I would rate this app better is if you had an Anonymous auto log in that can be converted to a full account on sign up or log in.,Positive,1
72,The latest update now not working fine at all. It's worsening day by day. The developers now appears to have a different intention that premium paid version is purchased by the users.,Negative,0
73,Just use your basic phone calendar,Negative,0
74,I want to cancel the subscription.,Negative,0
75,MoneyGrabber Wants you to pay premium to choose specific dates.,Negative,0
76,Does not do much different than Google tasks (which is easier to use and is free). As a result I wanted a refund as I only realized this after my 7 day trial. Refunds are only given within 24 hours of their drawing their fee. Not sure that is legal for an automatic subscription after app trial.,Positive,1
77,Useless app... Set up 8 reminders during a course of 4 days and not once received any notification! Waste of money.,Negative,0
78,Subscription!!!,Negative,0
79,It syncs EVERYTHING. terrible. you have to get the pro version in order to be able to do anything actually worth while!!!,Negative,0
80,I don't found usefulness,Positive,1
81,Its a good app but the app keeps crashing when i allow this app to add to my calendar. After adding it to calendar then yhis app doesnt open. Keeps crashing,Positive,1
82,You have to open an account with them. I won't be going there. Would be nice to be given the choice.,Positive,1
83,Efvig,Negative,0
84,Sorry way to complicated. And why would you think I want my information out on your servers? Wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary.,Positive,1
85,Super,Positive,1
86,Worked great for a few years and then the past couple of months it eats anything added to the list! I can sit and watch things drop off before my very eyes!,Positive,1
87,Way over priced for what it does. Not worth it!!,Positive,1
88,Delete application,Negative,0
89,Laggy responses to resolved items and errors in recurring reminders,Negative,0
90,Nice app,Positive,1
91,No new it's repeated app,Negative,0
92,It stop working and I try to reinstall it but same problem,Negative,0
93,Atleast make a few features available .. if the customer donot like the app at initial stage than how would he/she ever think about going premium,Positive,1
94,Did not sign up. App not even on my phone. This payment deduction will be reported and I request you refund my money immediately.,Negative,0
95,Autofill on Android 10 does not work,Negative,0
96,Have have to make an account in order to use this app. There is no way around it.,Negative,0
97,Stop Adding Groceries Items Like an Ad,Positive,1
98,Bakwas app,Negative,0
99,Good improvements but still don't have nag or presisitent reminders. I missing a lot reminders accidentally,Negative,0
100,Having to pay to set a recurring task is ridiculous and essentially makes the app useless to anyone who doesn't want to pay so this essentially is not a free app.,Negative,0
101,There is some issue in payment.,Negative,0
102,Too complicated. I need a plan to plan tasks.,Negative,0
103,Everything it expects you to pay,Negative,0
104,Too many features locked behind premium.,Negative,0
105,Worst app,Negative,0
106,Not good,Positive,1
107,"Is it necessary to sign up account? While making a new account it's shows error ""oops try again later""",Negative,0
108,I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now,Negative,0
109,Have to pay for recurrent daily task.. which is the main purpose of that app.,Negative,0
110,Raben nat s7,Negative,0
111,First thing that happened upon opening is asking for payment. Good job.,Positive,1
112,"Unable to register with an email. Clicking""continue with email"" will just take you to a login page. Complete waste of time. I searched them first three pages of Google for a solution and found nothing. Found no solution on their help section. I don't want to register with Facebook or Google. If you include a feature, make sure it actually works.",Positive,1
113,"Any.Forget... Had an instance of daily repeating event, that I have marked as complete today and somehow it did skip the next day and only proceeded to the day after. Kind of ""daily event with some days skipped"". So useless to me as can't be trusted for notifying about daily routine tasks. P.S. don't tell me I don't know how to setup a recurring event!!",Positive,1
114,Very slow app it took me 10 min just to start the app....,Negative,0
115,Anydo,Negative,0
116,I could not have any expirions about this app,Negative,0
117,Terrible App. Don't waste your money.,Negative,0
118,I couldn't use it,Negative,0
119,Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.,Positive,1
120,Hf,Negative,0
121,Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review,Negative,0
122,Its a great app but I dont receive any events notification although I have allowed the notification to come through from this app. I really don't understand why because I have set everything correctly.,Positive,1
123,Virender.kumar,Negative,0
124,Useless,Negative,0
125,Price is high,Negative,0
126,"Under subtitle *security* ""However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers"" Sorry no thanks.i just downloaded but after reading privacy policy i prefer going thru •Google official •one & app like calendar required lot of access ,&i personally don't wanna bleach my data like this..btw the tq for placing the info it to let us know :)",Positive,1
127,Bad app,Negative,0
128,Tried doing all the settings as per ur guidence.. but app is not supporting popups in lock screen.. everytime I have to unlock my screen to check the event..,Positive,1
129,KimHong,Negative,0
130,I hate this app 😡😤😤 as soon as I downloaded it my phone was hanging 😠😠😠😡😠😡 😠,Negative,0
131,This app has Malware.,Negative,0
132,Not Making an Account!,Negative,0
133,I dont know..why people appreciate this app..not user friendly...,Negative,0
134,Time setting is so dumb. Fix it,Negative,0
135,SWEETY SWEETY Kumari,Negative,0
136,Not working,Negative,0
137,No integration with created Alexa Lists.,Positive,1
138,You have to pay for all the decent features... There's nothing you want to do that your alarm doesn't already do,Positive,1
139,can't open,Negative,0
140,Hopeless,Negative,0
141,I dont understand how it works. Not very clear on how to use it. And it comstantly showed notifications for anything i made a note of,Negative,0
142,Do not have option to not connect to fb google or email,Negative,0
143,"It's testing the edge of my patience. Even though I have better internet connection it keeps saying ""couldn't find the Internet connection. Try again later"". It's my first time. I can't sign in so I can't go in to the app and plan anything. Already I tried reinstall twice.",Positive,1
144,Please Add UPI feature because I tried many debit cards to get the Premium Versionof this app but any of them was accepted.,Positive,1
145,Lost all my lists when I was forced to give email address. Was good prior to having to start all over.,Negative,0
146,Rare,Negative,0
147,Good app but I wish there was a monthly payment option for premium instead of annual.,Positive,1
148,Pushing to hard for premium upgrade. Not interested anymore,Positive,1
149,Whapp integration is bad. Barely anything works. Focus to whapp integration and seeya again,Negative,0
150,no repeat alarm,Negative,0
151,Confused,Negative,0
152,I like this apps but the thing is anything need to pay? So sorry to do list i only gave it 2 star and its so bad 😔,Negative,0
153,Star,Negative,0
154,Its ok i guess,Positive,1
155,"App shouldn't enforce sign in for use. Uninstalled. Waste of time. Edit: that sounds like optional functionality for an app labeled to do list! Not a complete blocker to using the app. For a simple ""I need to make a quick note to remind myself of later"" this isn't very good.",Positive,1
156,Not what is expected,Negative,0
157,Perhaps the least user friendly app on Playstore. My head is spinning. Why is it so hard to edit the time of reminder?,Positive,1
158,The last update removed grid view and left us with a very odd task interface.,Negative,0
159,This is not free. Paid one. Some features are limited till paid.,Positive,1
160,App is good & I am using it since 6 months now BUT NOW A DAYS AUTOMATICALLY SHUTDOWN WHOLE WORKING,Positive,1
161,Got into the help menu by accident. Can't get back to my lists.,Negative,0
162,I have bought it yet it displays ERROR IN VERIFYING MY WHATSAPP INTEGRATION 😡😡😡😡,Negative,0
163,Ok it was good app but all the good feature are in premium no use of downloading if I'm not satisfied why would i pay for a premium one,Positive,1
164,Constant prompts for trials and upgrades. Super annoying.,Positive,1
165,"My rating is just based on my needs. The app says it has recurring tasks, it does not. It does have recurring reminders for ""on going"" tasks which may be useful in certain applications. The result of which being if you click on a task that you do everyday it puts the next reminder on the list giving the illusion the task was left undone. The exact opposite of what a checklist should do. If you want actual individual repeating tasks or list this is not the app.",Positive,1
166,I'm experiencing issues with the reminder option. Whenever I set a reminder I get neither the notification or the popup which as a result makes me forget things. This issue wasn't there before. What can be done to solve this?,Negative,0
167,Rimnder alram ka bhi option h ya nhi,Negative,0
168,Loved this app but I prefer writing things down,Positive,1
169,Ordinary updates delete reminders,Negative,0
170,Why pay for such simplicity?,Negative,0
171,Why so expensive? Microsoft Task or reminder offer most of the features that this app has. Could you please decrease the price a little bit? Or give me some discount? Atleast for the first Year?,Positive,1
172,Can't repeat task at custom intervals,Negative,0
173,It stopped showing reminders and notifications!!!!!,Negative,0
174,"The app was an okay task organizer at best, although it required internet and was ridden with adds and paywalls for a monthly ""premium"" subscription. Even if they asked for support, id prefer a one time payment of a higher amount like, $5 to unlock all features.",Positive,1
175,Used to be good but now doesn't even notify me (and yes this is with the settings amended accordingly),Positive,1
176,i liked it because of plan a tree cz i really needed it but it's expensive soo.. k bye,Positive,1
177,The update is annoying. I want to add time on the list. But you just add time tag feature which make the time that i put not being displayed.,Negative,0
178,LAGGIN! cannot open. Tq,Negative,0
179,Recurring reminders are available for free in Google reminder. You can't Monetize the basic functions.,Positive,1
180,For me it frequently stops syncing. I currently can't get it working again. But when it was working it was great.,Positive,1
181,Doesnt work on windows,Negative,0
182,not user friendly.,Positive,1
183,Used to love this app. After the latest update its garbage! Can't turn off the automatic date/time thing that erases what you put in and sends it to that date or time. Will hang onto it for a bit in hopes that a new update will fix this issue. Or at least give the option to turn it off.,Positive,1
184,I love using this app however when I installed it to one of my phones I cannot login to it. It just keeps closing. I don't know what's wrong. Also I wish the widget would contain date and time of the tasks not just tick marks.,Positive,1
185,Not yet solved. Cannot log in,Positive,1
186,useless,Negative,0
187,It can't adjust tasks with real-time line.,Negative,0
188,I actually love this and have use this for a year but the new update is no good at all that I need to edit my review due to the changes...,Positive,1
189,"Buggy interface. The grocery list feature is fine but the schedule is terrible. It kept changing event details after I saved. I had to go back in and turn off alarms for previously saved events (that I had alarms off). And it would NOT let me create an all day event that was only scheduled one day. No matter how many times I changed the dates it kept including the day before in my ""all day"" event. And then when I would try to edit it, it would change completely to two days before. What a mess.",Negative,0
190,Free version is very limited compared to Ticktick and Microsoft To Do.,Positive,1
191,"The grocery list is not syncing properly and is missing items that my wife added on her phone. This has caused issues for us where I've missed items when shopping. This is particularly bad considering the current quarantine and the fact that I have to queue up to get into the shop in the first place. I've tested and when I add the item ""snacks"" on my wife's phone they don't appear on my grocery list. I can not recommend this app currently because of this.",Negative,0
192,I mean the app started seeming really nice and has a lot of work put into it but here me out if your looking for a app that is free and dont want to spend $ for daily reminders this is not it but if you dont mind paying like 7 $ this your app and with that 7 dollars you can get cool extra stuff,Positive,1
193,a mess of features that don't serve me; cumbersome UX,Negative,0
194,I have cancelled my subscription. An amount of Rs. 909.90 has been deducted from my account. Kindly refund the same. I'm not interested in the app,Positive,1
195,"Lost another star for your reply to my previous comment. I like the ""moment"" notification. I like planning my day.. i hate the dumb sounds I can't turn off for every item I snooze.",Negative,0
196,Not free,Positive,1
197,Important features locked behind a pay wall.,Positive,1
198,A suspicious app! Do not recommend this application.,Negative,0
199,Keep losing mini steps after I write them down.,Negative,0
200,Estou tendo dificuldades com alguns bugs..,Negative,0
201,There is a issue with Notes. For as long as I can remeber you sometimes add a note and it's gone later. I keep having to go out and come back each time I add one in hope it's saved.,Positive,1
202,I like the app but the fact that there are lots of other apps that can do the same thing ... it's imo ridiculous to charge a monthly fee.. they justify it by saying it's a service blabla it's an to do app. More people would actually pay for it if it wouldn't be a subscription model.,Negative,0
203,Nice polished but useless. There is no filter for tags. Web and app synch problems happens missing tasks. Not any scoring system. May good for amateurs but not for project managers. However I like the calendar view.,Positive,1
204,There are certain things I love like the fact that it sorts my grocery list by aisle automatically. But overall this app stresses me out. I just want an app that allows me to share my grocery list. But the grocery list seems buried in an area that isn't intuitive. I don't need something to schedule every second of my life which seems to be more this apps aim.,Positive,1
205,You reaaallllyyy don't have a lot without paying,Negative,0
206,Can't add more than 5 task to calendar without monthly fee.,Negative,0
207,Premium version only,Negative,0
208,Weak and underdeveloped platform. Don't expect support to treat you like a person - this is a company that just wants your money and then to forget about you.,Positive,1
209,Missing grocery list widget and quantity for grocery list items!!!,Negative,0
210,It doesn't sync up with Google Tasks. Not worth the change. Zapier does not work for Android. Zapier only works if you pay the Premium fee plus it only gives the option to add new tasks and complete tasks when integrating with Google Tasks. It does not import current tasks previously created in Google Tasks. There is no way to transfer my 144 tasks from Google to Anydo. And I can't afford $72.00 right off the bat to do it.,Positive,1
211,"NEW: Great concept but NOT for confidential data because it's not encrypted (nor PW protected on phone or PC) and, one day, Any.Do company will get hacked & ALL your stuff be be out there, like EquiFax. RESOLVED: App loses your work. eg: I created a new task, started a ""notes"" section, pasted it in some material and clicked save. Then I went to another app to get more material but when I returned to any.do, my notes were GONE!. Your ""save"" button is fraudulent if it does not save when clicked!",Positive,1
212,Nested can be improved,Positive,1
213,It's a fine app but logs me out every other time I go to use it.,Positive,1
214,Recurring tasks are behind a pay wall. Ridiculous to have to pay a monthly subscription for such a simple feature App is a little ugly and not customisable.,Negative,0
215,Themes and location based reminders are under subscription. Both are free on most of apps like this. Thanks but no. I'll pass and keep using Google keep,Positive,1
216,Not so great. The user interface is not friendly. Making the to do list takes far too long and theres no way (that i found) to make a list that repeats daily. I'll just stick to google keep.,Positive,1
217,Strange thing. When I mark recurrent tasks as done in web desktop version into the Upcoming section.,Negative,0
218,Notification is now pathetic.. shame. I liked it a lot. I think its time to jump ship. It's been fun.,Negative,0
219,After all this time you still can not search tasks on Android. So you have to look through every task you have created and through each list to find what task you are looking for. Going down to 2 star.,Positive,1
220,Not free,Positive,1
221,No monthly recurring reminder features. Can't even remind me when to pay the bills!,Negative,0
222,Have to create an account just to check out functionality. Don't want to do that. Uninstalling.,Positive,1
223,How do i unsubscribe this useless app?,Negative,0
224,Update: Used to be great. Now they've added so many steps it's no longer the simple app it used to be. Very disappointed.,Positive,1
225,Uninstalled after latest update and it blocked all my lists until I set up an account. No thanks.,Positive,1
226,"The ""not completed"" tasks do not carry over to the next day automatically. I wanted an app that would constantly flash incomplete tasks in my home screen. Otherwise, presentation of the app is good.",Positive,1
227,I dont liek it rlly,Negative,0
228,Premium version is too much expensive. Any.do should provide an option in which we can select max. 3 to 5 apps for integration in premium version & pay accordingly.,Negative,0
229,Well designed and all however alot of the crutial features are locked behind the premium which u need to pay for,Positive,1
230,Unable to edit time for reminder. S7,Negative,0
231,Cant really set custom remindere. For example I need to be able to check a specific system every 3 hours with other variables.. Cant do it,Negative,0
232,I want to discontinue and it was monthly base they charge me yearly it's very sad pls help and refund,Positive,1
233,No dark theme without a premium subscription? Ok,Negative,0
234,Looks like a copy of an IPhone app. Im not impressed by the huge bar in the bottom or the single colored ui. A night mode should come standard,Positive,1
235,There is no sound,Negative,0
236,"Too much spam. Stuff that I don't care for pops up on my screen all the time and blocking those also blocked the reminders I wanted the app for. Also, too many emails. I don't want more clutter to ""organize"" my life.",Negative,0
237,Very productive,Negative,0
238,I dont like how it charged me automatically after the free trial without informing me expiry of trial or if i wanted to subscribe to the paid service,Positive,1
239,Not a great user interface. Have been using for almost 2 months but still struggling,Positive,1
240,Hate subscription uninstalled,Negative,0
241,Does this app work without internet connection also?,Negative,0
242,gaada waktu kapan harus selesai.. jadi kurang detail,Negative,0
243,Over all good task manager. But I do not like misleading and untrue boasts about integration with MS outlook. It is possible but only via zappier plus functionality is limited. Not possible to sync task between this 2apps.,Positive,1
244,Good until it started wanting money for doing its job,Positive,1
245,Downloads the app but package file is invalid error pops up before completing installation,Negative,0
246,So far so good... bit expensive having to purchase a yearly basis to access basic functions as color tags and what comes with it. Translation to Greek is not fluent for the price tag / annually I would apprechiate developers look closer at them. Will give it a try before committing on purchasing it per year. On a positive note love the widget (using however nova launcher). Current rating will change based on the experience.,Positive,1
247,"Ah yes, wanna use an ""advanced"" calendar? Well, turns out you must have an account for that. What's that, your eyes are burning under this bright theme? Well we have a solution just for you! As you have seen in our tips, you can change the theme. Oh W O P S, NO YOU CAN'T, how silly of us to not tell you in tips that ~BUY OUR PREMIUM!!!~... //Maybe it's just not what I was looking for...",Positive,1
248,There should be a dark mode instead of setting through a premium theme option,Negative,0
249,Many times I've put sub tasks on my to-do tasks and they just disappear for some reason. I've forgotten many things because of this and still hasn't been fixed despite various updates.,Negative,0
250,App not bad but very limited unless you pay. Downloaded this app after reading in the news about it's WhatsApp integration. That is only available if you pay. Without the paid for aspects this application is like any other generic calender app.,Negative,0
251,Questionable experience. Upgraded to premium but WhatsApp integration is not working. Seems a little confusing.,Negative,0
252,Zero features in free version.,Positive,1
253,I can not figure out how to get it on my galaxy watch...ugh.,Negative,0
254,I was given this premium app. Now with new versions is not updating. I fail to understand this. If I'm given premium version then now why wouldn't it get updated? If it was non upgradable then why was it given? It's a great app and so it hurts when there are such tricks used on customers.,Negative,0
255,"Useful as a to-do list. Sets a real annoying ""plan your day"" popup reminder every morning. How you disable it is non obvious. Uninstalled.",Positive,1
256,"Can't clean up old Alexa lists! We use this purely for the Alexa shopping list integration. However, early on it was very buggy, so we had to relink our Alexa account a number of times. And now we have like 4 or 5 old ""Alexa shopping list""s that we cannot delete! ""Alexa lists can not be modified with Any.do. You can do it from the Alexa app""... No, I can not, because it only deletes the working one!",Positive,1
257,Reminder feature is not working 🥱,Negative,0
258,I had made an account for this app a long time ago but didn't use it for long and I forgot why until I re-downloaded it today. This is one of those apps that's incredibly frustrating because a lot of the main advertised features are behind a pay wall and/or you have to make an ADDITIONAL ACCOUNT FOR. Paying more than $1/mo for a list app is ridiculous. If anything it should be a one-time purchase.,Negative,0
259,I used to love it. It was my go to app for many years. But over the time it is losing the special status. It doesn't have travel time anymore which was the main reason why i could stay on top of things without mentally having to calculate each meeting and setting the times. They removed that!,Positive,1
260,Good app. Annoying pop up every morning on my phone even though I have the notification turned off.,Positive,1
261,I haven't used they made an effort from there side. I'm a bit of a mess and I need time.,Negative,0
262,"29.9. Nothing new, I've already reconciled to that ""improved"" GUI. // 16.7.20, 3.8.19: No, a long time ago I was able to create a FULL (WITH a reminder) task in a LANDSCAPE mode. It's impossible now (after that 'redesign'). // 17.7., 2.3.: I'm pretty sure I WAS ABLE to create/edit a new task in ONE go (and in LANDSCAPE). It takes MORE moves now. // 2.2.2019: I CANNOT believe that when I HAVE got to change a grip from PORTAIT to LANDSCAPE when creating / editing a task it is more effective than before...",Positive,1
263,"Some features just don't work in the free app! I have tried to set a daily reminder for 9am to put a ticket in my car. Once I click ""Done"", it sets the reminder the next day.... at 1am. I dismissed the 1am reminder once, half asleep as the sound woke me up, it never reminded me again and now I have a parking fine to pay. I have real memory difficulties and need an app that actually works properly! Disappointing, as I find the one off reminders really helpful.",Negative,0
264,I am not sure who want to pay monthly fee for a to-do list app. One time payment always make a sense.,Positive,1
265,Features are all right. It doesn't seem to me like they actually USE their own product. Else the idiosyncrasies would have been ironed out.,Positive,1
266,Didn't like,Positive,1
267,"Now able to see list view from widget thanks to developer response - but there's a new bigger problem now. The integration with Google Assistant is going terribly. Everytime I try to add an item to my grocery list through Google Assistant, Any.do creates a new list called ""Grocery"". When I ask what's on my grocery list, it replies ""you have 3 lists named Grocery, which would you like?""",Positive,1
268,It was awesome at first. Then I try to add an event from the widget and it won't do it correctly. Super frustrated,Positive,1
269,"The Next 7 Days is No Longer Showing ""the next 7 days"" but rather group by lists and not by days..",Negative,0
270,I pay for the premium app and it keeps closing down on me once Im in the app. What can I do to keep that from happening?,Negative,0
271,Almost perfect app just one thing I wish anydo had is hourly reminders and copy reminders to set the same task just a different time... This is coming from a PAID subscriber...,Positive,1
272,What happened to the missed calls notification? I recently switched phones and had to download the new version and the option is no longer there. It was one of the main reasons I used the app.,Negative,0
273,"To be fair, I downloaded it and uninstalled it after a couple of minutes. The reason for this is that I hate apps that scream ""pay me money"" since the instance you download it, and this one did that exactly. With the ""free premium trial"" being in your face all the time, and then setting it up or going through the tutorial you could see all the features and all you could see is ""premium"". Just do the app as a paid one instead of begging for people to pay for it. It looks amazing though.",Positive,1
274,Love it. Great future.👪🙌,Positive,1
275,So nice,Positive,1
276,fantastic,Positive,1
277,Too many options and gets too fancy for an app that should just have simple functionality to setup reminders and to do items,Negative,0
278,Way too expensive; if there was a monthly option I may consider going premium.,Negative,0
279,Great UI an reminder app. Only downside is I cant mute notifications for certain accounts which is really annoying. I'd like to see my events but not have notifications for them as I have a ton.,Positive,1
280,Just not for me. They also seem to refuse to let you delete your account by refusing a password that was created 15 seconds. Lots of cool features but not what I'm looking for.,Negative,0
281,Reporting abuse.,Negative,0
282,good,Positive,1
283,I like it true,Positive,1
284,Hyyy,Negative,0
285,Any Do Moments are not working for me.. 😪 Please look into it.,Positive,1
286,Don't know,Negative,0
287,It went from simple and useful to cool and confusing this morning. I don't know what is going on. I'm disturbed,Positive,1
288,We need a monthly payment terms. Currently it is yearly only!!,Negative,0
289,mobile app isn't very intuitive but the desktop app is good,Positive,1
290,"All around amazing life improver with one irritating caveat. The reordering functionality could really use some work. Often the reordering fails and the task gets thrown out of ""Today"" into ""Someday"" which means I have to go fish it out from a long list. Sometimes this will happen multiple times in a row really testing my patience. Been dealing with it for many months now - want to continue using this awesome app but really struggling with this one bug. Galaxy S9+, Android 10, One UI 2.1",Positive,1
291,The day ended and i didnt end my task and it didnt shift or alarm about undone tasks,Positive,1
292,It's not what i need,Negative,0
293,It had a peculiar issue.. I have set it up to remind me of my ask with on screen notification but often it fails to do so and then I miss the task.,Negative,0
294,This is so frustrating!!! I set a event for someone's birthday then a event a month ago before the birthday to not forget to buy the stuff they want and nothing shows up! Nvm it shows up on my Google calendar,Negative,0
295,Don't have a monthly plan. I can't find it in the premium section,Negative,0
296,Well I have suggestion make a system where students could track time... Like total available time then distribute it over task..,Positive,1
297,Not pleased,Positive,1
298,I love the widget but whenever I edit an event on the calendar it changes the day to like the day before without me doing so and it's extremely annoying,Positive,1
299,How to get the pop up for missing call alerts,Negative,0
300,"The latest app update (7/26/20), ""new app navigation..."" is a definite downgrade, from panes to a one side scroll, now I can no longer see full task list names, the ""all tasks"" option is changed, the new layout sucks. Why do developers always do this, ""fix"" things that aren't broken? Why can't you just improve the things people are requesting, instead of changing everything else around too? This ver is much harder/inconvenient to navigate than the previous one was. Trying to revert to older.",Negative,0
301,Don't like the app and trying to unsubscribe but there is no option,Positive,1
302,Can't import/sync w/ Google Tasks?,Negative,0
303,The daily reminder does not work i mean it works on the first day but than on the next day it does not make sounds or pop up when its to do the task,Negative,0
304,Problem with the notification. Can't complete task from notification. Keep showing till I mark task as finished that too by opening the app.,Negative,0
305,Sir i have deleted this app i cant understand how to do so that the reason please reset my google account from any do and donot charge after 7 day trial,Negative,0
306,Literally half the features under premium can be found free with other apps.,Positive,1
307,It's ok,Positive,1
308,How to connect with Yahoo mail,Negative,0
309,Needs smart dictation like todoist and better calendar widgets like ticktick,Positive,1
310,Needs work. Time options in Custom ARE NOT Professional enough.,Negative,0
311,Can't move it to SD card. I need space on my phone so I'll likely be deleting it.,Negative,0
312,Review more for 5 stars!,Negative,0
313,I paid for premium account. But my account status is still free with no premium feature.,Positive,1
314,I really want to like this app. We use it to share shopping lists. But the syncing with my wife's phone leaves much to be desired.,Positive,1
